Clasificación,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,DF
Sandro Ramírez,68,36,40,36,28,35,2.400.000,-  2  4  4  -
Alfonso Pedraza,68,38,42,42,26,33,2.130.000,2  2  -  -  -
Kang-In Lee,68,34,31,34,37,34,2.040.000,4  1  4  4  -
Renato Tapia,68,32,40,33,28,31,1.940.000,3  2  -  4  -
Reina,68,38,51,57,17,19,1.400.000,-  -  -  -  -
Salvi,67,34,29,26,38,42,1.450.000,2  2  -  -  -
Mickael Malsa,67,32,31,31,36,33,1.130.000,2  2  5  1  -
Darwin Machís,66,39,36,40,30,38,2.840.000,-  -  5  4  -
Héctor Herrera,66,41,29,41,37,41,2.000.000,-  6  6  1  3
Aleix Vidal,66,31,34,31,32,32,1.640.000,4  3  -  2  -
Coquelin,66,47,29,48,37,46,1.570.000,-  -  -  2  -
Edgar Badía,65,43,43,61,22,28,2.950.000,3  2  -1  7  -
Fernando Niño,65,36,28,40,37,34,2.190.000,-  3  -  2  -
Foulquier,65,30,32,27,33,33,1.520.000,3  -1  5  2  -
Manu García Alonso,65,36,38,42,27,30,850.000,-  -  -  4  -
Varazdat Haroyan,64,38,23,33,41,41,840.000,-  -  -  -  -
Thiago Galhardo,63,32,33,33,30,30,1.530.000,2  3  2  10  -
Pepelu,63,35,32,36,31,34,1.330.000,4  6  5  5  -
Iza Carcelén,63,30,35,35,28,25,1.330.000,-  -  2  -  2
Sorloth,62,28,26,26,36,30,2.460.000,2  1  3  3  -
Felipe,62,36,24,34,38,38,2.180.000,-9  4  -  5  2
Nolito,62,28,36,33,26,24,1.770.000,-  -  2  -  -
Edgar Méndez,62,28,34,31,28,25,1.310.000,2  2  9  7  -
Guardado,62,30,32,27,30,33,1.110.000,2  -  -  1  -
Javi Martínez Calvo,62,34,18,23,44,44,950.000,7  2  4  2  -
Campaña,61,47,34,49,27,45,4.280.000,-  -  -  -  -
Lejeune,61,32,41,37,20,25,1.740.000,2  2  2  6  -
Tello,61,32,32,36,29,29,1.510.000,3  4  4  8  -
Keidi Bare,61,32,31,26,30,43,1.210.000,1  4  10  4  -
Sobrino,61,25,32,29,29,22,1.120.000,-  2  2  3  1
Marc Bartra,60,43,31,44,29,41,2.680.000,5  6  2  2  -
Rui Silva,60,38,21,30,39,43,1.870.000,-1  1  -  -  -
Jaume Costa,60,33,26,26,34,43,1.600.000,2  9  3  3  -
Guillamón,60,25,37,28,23,21,1.550.000,2  1  2  2  -
Guido Carrillo,60,32,37,37,23,26,1.380.000,4  9  3  2  -
Gumbau,60,30,34,49,26,20,1.250.000,4  -  -5  -  -
Josan,60,30,28,31,32,29,1.090.000,2  4  2  2  -
Víctor Chust,60,33,33,37,27,30,1.030.000,6  3  5  4  3
Rodrygo,59,30,27,34,32,27,2.810.000,2  6  2  6  -
Óliver Torres,59,37,35,58,24,24,1.910.000,-  4  2  3  -
Víctor Ruiz,59,39,35,44,24,34,1.430.000,-  5  2  2  -
Brian Oliván,59,33,38,42,21,23,1.260.000,2  -  -  -  -
Mikel Vesga,59,30,32,36,27,25,1.100.000,2  5  4  11  -
Kiko Casilla,59,49,39,65,20,33,960.000,-  -  -  -  -
Antonio Sánchez,58,32,38,48,20,20,1.450.000,4  5  4  3  -
Zaldua,58,36,27,34,31,39,1.310.000,2  -  -  2  -
Nico Melamed,58,24,27,23,31,26,890.000,-2  -  3  2  -
Óscar Duarte,58,34,25,36,33,33,830.000,4  6  4  2  -
Nico Williams,57,25,22,22,35,27,5.470.000,-  -  -1  3  -
Gonzalo Montiel,57,48,33,47,24,48,2.160.000,-  -  -  -  -
Eric García,57,34,32,40,25,28,1.890.000,1  4  -  -  -
Cillessen,57,38,25,31,32,46,1.760.000,-  -  -  -  -
Rochina,57,44,29,58,28,35,1.590.000,2  -  -  1  -
Zarraga,57,27,29,26,28,28,1.180.000,2  -  4  10  -
José Ángel Cote,57,36,38,35,19,38,1.000.000,-  4  3  -  -
En-Nesyri,56,43,36,51,20,33,5.690.000,1  2  3  2  -
Vrsaljko,56,43,22,37,34,49,2.350.000,2  7  7  3  -
Rodrigo Sánchez,56,37,32,40,24,34,1.350.000,2  -  -  -  -
Unai López,56,31,27,30,29,32,1.310.000,-  -  -  -  -
Unai García,56,37,21,26,35,50,970.000,-  -  -  -  -
Diakhaby,55,28,24,27,31,28,1.280.000,2  4  8  -  -
Bigas,55,42,27,39,28,47,1.110.000,-  4  4  -  -
Franco Russo,55,37,25,36,30,38,970.000,-  -  -  -  -
Yunus Musah,54,28,21,26,33,30,1.460.000,-1  -  6  2  -
Akapo,54,34,30,38,24,30,890.000,5  2  4  4  1
Rubén Alcaraz,53,76,23,77,30,75,3.600.000,4  7  8  12  6
Óscar Gil,53,31,35,39,18,23,1.150.000,-  7  -1  5  -
Jaime Mata,53,27,33,37,20,18,1.080.000,2  -  -  -  -
Tomás Pina,53,25,21,23,32,27,1.040.000,2  4  4  -  -
Dani Gómez,53,29,31,39,22,22,880.000,15  0  6  2  -
Mingueza,52,37,32,46,20,29,1.100.000,-  2  -  -  -
Rekik,52,35,24,34,28,35,990.000,5  -  -  -  -
Martín Aguirregabiria,52,29,36,40,16,18,880.000,-  -  -  -  -
Son,52,33,24,34,28,31,870.000,2  4  5  1  -
